0,1,2,3
0.14806569,0.19730198,0.33275148,0.32188085
0.26774755,0.13762306,0.29464367,0.29998568
0.31531262,0.29143995,0.23703071,0.15621674
0.28122926,0.3108897,0.19128649,0.21659455
0.37603742,0.12504989,0.21911822,0.2797945
0.35335588,0.11244893,0.33783114,0.19636397
0.36483097,0.15103441,0.18882658,0.29530805
0.27708912,0.09997515,0.29028687,0.33264893
0.25175545,0.1841444,0.32110104,0.24299914
0.4742336,0.1532128,0.2819555,0.09059802
0.34251603,0.26738954,0.2352527,0.15484177
0.3492787,0.15125725,0.2660469,0.23341715
0.26167625,0.2037194,0.21948652,0.31511787
0.39077783,0.1842817,0.30283687,0.122103594
0.23237883,0.2872262,0.21770793,0.262687
0.32463408,0.14811309,0.26256055,0.26469234
0.35201472,0.12613484,0.29561156,0.22623895
0.27698934,0.15167789,0.4114021,0.15993068
0.40131465,0.15404415,0.32864293,0.11599821
0.3073686,0.115143545,0.38295215,0.19453576
0.26361963,0.15005827,0.44820517,0.13811696
0.21315713,0.24699648,0.2955736,0.24427284
0.40070271,0.13079685,0.15614308,0.31235734
0.25671428,0.16828202,0.2843063,0.29069737
0.3550586,0.13470443,0.3228365,0.18740049
0.30757993,0.4319487,0.026047926,0.2344234
0.4231153,0.13752924,0.26578018,0.17357528
0.17464095,0.14570971,0.3688867,0.31076255
0.21829702,0.18628708,0.33613557,0.25928035
0.10187016,0.3102915,0.3755455,0.21229276
0.15975454,0.09851611,0.42824325,0.3134861
0.50585407,0.21526557,0.13698022,0.14190014
0.2518794,0.14488427,0.24613294,0.35710338
0.33884907,0.17616779,0.26937503,0.2156081
0.3425327,0.20662925,0.2284915,0.22234651
0.2632182,0.13959318,0.3226678,0.27452078
0.28413785,0.13549495,0.43140942,0.14895774
0.3265777,0.17320584,0.21040943,0.289807
0.3040847,0.08081522,0.44707653,0.16802363
0.41136786,0.21279769,0.18522643,0.19060801
0.4180921,0.12467508,0.18712963,0.27010325
0.37326923,0.081700414,0.2423504,0.3026799
0.32628173,0.15590635,0.2996626,0.21814927
0.3009485,0.23757675,0.26254043,0.19893432
0.46129784,0.18274853,0.21110937,0.14484428
0.34305137,0.28935882,0.28133664,0.086253166
0.39121693,0.23898596,0.1969253,0.1728718
0.39205763,0.14675727,0.30714208,0.15404305
0.28369036,0.14756656,0.29238686,0.27635622
0.31141806,0.1567684,0.34054634,0.19126722
0.3521041,0.15140772,0.30025575,0.19623238
0.28828418,0.087010585,0.35071695,0.27398834
0.2194299,0.1406376,0.4342408,0.20569168
0.46642557,0.16338143,0.30282918,0.067363806
0.25631678,0.18056546,0.43000156,0.13311617
0.27735558,0.35108468,0.28739402,0.0841658
0.42163497,0.13932924,0.25605363,0.18298216
0.30744144,0.14504977,0.44240847,0.10510025
0.27717963,0.16262439,0.34030867,0.21988729
0.17676741,0.25717738,0.22391936,0.3421358
0.39400604,0.17050098,0.1848514,0.25064152
0.380097,0.3162349,0.12739651,0.17627162
0.3193621,0.23463513,0.21788348,0.22811927
0.41157714,0.10615327,0.38681954,0.09545006
0.33512634,0.3598101,0.12307794,0.18198562
0.3949897,0.11110393,0.35704237,0.13686407
0.4426312,0.09760921,0.2933962,0.16636337
0.31982076,0.17353013,0.17306258,0.33358654
0.37139925,0.13107416,0.24150117,0.2560254
0.35984224,0.123884745,0.33637035,0.17990267
0.32428128,0.23636766,0.20531422,0.23403682
0.383314,0.082313664,0.22914256,0.30522972
0.32117727,0.16856828,0.31832945,0.19192503
0.4176374,0.1650134,0.2009138,0.21643537
0.41992262,0.16016483,0.28144923,0.13846338
0.3578217,0.09251917,0.40982044,0.1398387
0.12368199,0.32007003,0.24557923,0.31066877
0.29669052,0.33521715,0.24144652,0.12664583
0.24914563,0.14781478,0.3665437,0.23649587
0.35059705,0.2428575,0.13271792,0.2738275
0.2885289,0.32871556,0.27131405,0.11144151
0.36866182,0.20462868,0.22385058,0.20285898
0.24832928,0.08025131,0.35160655,0.31981292
0.3442431,0.19624233,0.2662267,0.19328783
0.23401585,0.21963267,0.26406044,0.28229105
0.25773254,0.14410639,0.42577106,0.17239007
0.30777758,0.13942237,0.355018,0.19778201
0.4328145,0.2102407,0.14646195,0.21048287
0.3521041,0.15140772,0.30025575,0.19623238
0.34859696,0.09466698,0.30441135,0.25232467
0.26834726,0.38170466,0.17246856,0.17747952
0.18177804,0.2773976,0.2731598,0.2676645
0.28279635,0.38181525,0.21094199,0.12444644
0.21926998,0.22569706,0.187931,0.367102
0.31438723,0.24662234,0.21288884,0.2261016
0.30592698,0.17255089,0.32109004,0.20043205
0.22475849,0.3518511,0.30179372,0.121596694
0.17284143,0.387755,0.31896147,0.12044203
0.33087134,0.14839724,0.29295355,0.22777785
0.47388512,0.18031566,0.2509367,0.094862595
0.37694293,0.14138924,0.3150493,0.16661854
0.19273679,0.20723048,0.2104271,0.3896056
0.2042613,0.30703905,0.24977984,0.23891973
0.24764547,0.14630304,0.34505197,0.2609995
0.29657748,0.33443275,0.10260012,0.26638964
0.27486545,0.26192167,0.23067494,0.23253793
0.26731125,0.12278845,0.40426293,0.20563741
0.4352595,0.10916175,0.30114424,0.15443459
0.3927573,0.15974456,0.26526332,0.18223473
0.27770063,0.12592523,0.35819933,0.2381748
0.25891608,0.15290186,0.3471497,0.24103233
0.2578314,0.3175514,0.15664037,0.26797682
0.41474748,0.15070711,0.27305013,0.16149525
0.22678079,0.14959751,0.35079792,0.27282387
0.3661679,0.26155335,0.24242267,0.1298561
0.3373374,0.16378492,0.20578267,0.293095
0.26385263,0.17939994,0.3215689,0.23517855
0.36264518,0.16782846,0.30320084,0.16632551
0.24343272,0.24528213,0.44975948,0.061525617
0.3661036,0.1547865,0.29438627,0.18472359
0.23869821,0.18176816,0.41201004,0.16752355
0.2886436,0.28415892,0.17038935,0.25680807
0.26990798,0.14860602,0.44701278,0.1344733
0.43926856,0.14688109,0.276908,0.13694236
0.27971703,0.08265403,0.36053288,0.27709606
0.2991989,0.23990785,0.23418422,0.22670908
0.34896752,0.18147983,0.28850403,0.18104866
0.25097597,0.0910714,0.45295373,0.20499894
0.26408088,0.3690444,0.18884993,0.17802477
0.31622568,0.1538655,0.2631313,0.26677758
0.32579714,0.18358247,0.31335655,0.1772638
0.3323444,0.13330035,0.3333779,0.20097736
0.17653796,0.40025643,0.26649296,0.15671259
0.38117245,0.15567696,0.26696527,0.1961853
0.24483609,0.30094257,0.2165718,0.23764956
0.27324295,0.2549075,0.30354142,0.16830818
0.22424564,0.2376143,0.2560568,0.28208327
0.23705678,0.35284972,0.17994808,0.23014544
0.24082965,0.22002658,0.2670316,0.27211222
0.36763924,0.15943111,0.31458452,0.1583451
0.27698934,0.1708184,0.3948787,0.15731359
0.2984102,0.24688265,0.2099588,0.24474838
0.17481615,0.18827493,0.53574485,0.101164065
0.35509038,0.34440705,0.12344133,0.17706126
0.35427704,0.12290368,0.22934607,0.29347318
0.38602117,0.19057958,0.31062952,0.11276975
0.32889363,0.195408,0.2932053,0.18249312
0.2143837,0.29025424,0.31450027,0.18086176
0.1769457,0.16335252,0.29755634,0.3621454
0.28769276,0.13322815,0.21099043,0.36808872
