"('O', 'C', 1)","('N', 'H', 1)","('N', 'C', 1)","('N', 'C', 1.5)","('C', 'H', 1)","('C', 'C', 1)","('C', 'C', 1.5)"
0,2,6,0,23,9,0
0,3,5,0,19,7,6
0,1,3,0,15,8,12
4,3,4,0,22,6,0
2,2,8,0,25,6,6
1,2,8,0,31,12,6
2,2,8,0,20,6,0
0,1,6,4,21,5,7
1,3,9,0,22,7,6
2,2,8,0,32,12,0
2,2,2,0,32,18,0
2,3,8,4,30,10,11
1,1,3,4,18,11,0
1,2,2,0,16,6,6
4,1,6,2,20,7,16
0,1,4,0,20,9,9
3,1,3,0,18,11,0
2,2,7,0,29,19,6
1,3,10,0,26,11,0
0,3,8,0,22,12,0
4,3,1,0,27,14,0
2,1,4,0,20,7,20
4,3,1,0,21,8,6
2,4,3,0,19,9,0
0,3,3,0,22,9,3
4,1,3,0,22,5,12
1,2,2,0,21,9,0
2,3,8,2,24,9,4
2,3,4,0,21,8,12
0,1,3,3,21,10,0
2,1,7,2,30,15,1
0,4,10,0,28,11,0
0,3,7,4,23,7,8
0,2,8,0,30,11,6
1,2,2,2,18,9,1
0,3,6,0,16,5,0
0,3,4,2,13,5,4
0,3,8,2,25,11,6
0,0,6,2,19,9,1
3,1,3,0,17,5,6
0,5,12,0,27,13,0
0,1,4,1,18,7,5
0,3,7,0,19,6,0
5,1,1,0,26,10,6
0,2,2,0,28,11,6
0,1,5,0,27,16,0
4,1,5,0,10,3,6
0,3,4,0,18,10,6
2,2,6,0,27,12,6
1,1,3,4,16,7,2
4,2,3,0,21,7,18
0,1,6,0,32,13,0
0,0,0,4,20,7,7
1,1,3,0,19,11,0
0,2,8,0,27,9,12
0,3,4,0,26,15,0
4,1,6,4,32,12,4
2,2,2,0,18,5,6
0,3,1,0,16,7,6
5,1,3,0,28,11,6
4,2,1,0,19,8,6
0,3,1,3,17,10,3
3,3,2,0,13,7,6
2,2,2,0,22,4,12
0,2,8,0,30,12,6
0,1,5,0,27,9,6
0,5,7,0,21,8,6
0,1,10,0,22,6,12
0,4,7,4,25,11,2
3,1,3,2,11,5,4
1,3,7,0,23,10,6
0,2,8,0,27,10,6
1,3,5,0,28,13,0
0,1,6,4,22,7,5
2,1,2,0,14,9,0
0,2,2,0,24,15,6
0,2,5,0,26,7,6
4,5,9,0,25,10,12
1,2,4,0,15,5,6
1,2,2,2,13,7,8
0,1,6,0,28,10,6
1,2,5,0,20,8,9
0,4,7,0,23,10,0
2,2,7,0,29,13,0
0,4,9,2,19,9,1
0,3,5,0,23,9,6
0,3,5,0,28,10,6
3,1,2,0,16,2,12
0,2,9,0,25,10,6
3,2,8,0,18,4,12
0,4,4,0,26,14,0
0,3,10,0,28,7,6
6,1,6,0,24,7,18
3,0,0,0,35,25,0
0,2,5,0,21,3,11
0,3,5,2,18,6,8
5,0,1,0,26,16,9
6,1,4,0,24,7,12
0,1,3,2,23,11,8
0,3,7,0,23,8,12
2,3,4,0,22,8,6
1,2,5,0,26,11,0
0,3,5,0,22,11,0
0,3,5,0,31,12,0
0,4,5,0,24,8,6
2,3,1,0,15,7,0
3,2,4,0,23,10,6
0,2,5,0,18,5,9
0,2,2,0,20,12,6
0,3,13,2,35,13,10
1,2,6,2,25,8,14
2,0,3,0,31,16,0
0,1,6,0,24,9,3
2,2,3,2,24,7,14
1,1,3,0,18,4,6
1,4,3,0,12,7,6
2,2,7,0,16,7,6
0,1,6,0,28,12,6
2,1,2,0,18,9,3
1,1,3,0,23,13,0
0,2,12,4,27,8,2
0,1,5,0,22,12,6
3,3,1,0,16,9,0
3,2,5,0,15,6,6
1,0,0,0,11,4,0
0,2,10,0,28,12,0
3,0,0,0,24,15,0
5,0,0,0,21,16,6
0,2,5,0,21,7,0
6,2,2,0,24,7,6
2,4,12,2,20,5,6
2,2,5,0,29,12,0
0,1,3,2,24,9,4
0,2,11,0,25,9,6
2,2,2,0,20,11,6
0,3,7,0,21,9,3
1,3,7,0,20,7,3
2,3,4,0,20,9,6
1,1,13,2,23,5,4
0,5,6,0,18,9,0
2,3,4,4,18,9,5
0,2,4,0,21,7,6
1,1,3,2,17,4,7
0,4,3,0,23,13,0
0,1,6,0,23,11,6
0,3,11,0,26,8,6
2,1,2,4,17,9,8
0,2,4,0,13,8,9
1,4,8,0,22,10,0
0,2,5,0,25,8,0
1,1,3,0,20,10,3
0,3,7,0,20,8,6
0,3,7,0,20,7,8
2,3,5,0,15,5,6
2,1,6,3,26,8,0
2,3,8,0,27,10,0
1,2,2,2,16,4,4
0,1,0,0,16,15,6
0,2,5,0,19,13,6
0,1,6,0,28,11,0
0,3,9,0,15,7,0
2,1,6,0,32,13,0
0,3,3,2,19,12,3
2,2,5,8,23,9,4
3,2,6,0,21,7,6
1,3,7,0,26,9,12
1,1,2,0,11,6,0
3,0,0,0,20,10,6
2,4,10,0,30,10,0
1,1,8,0,22,11,6
1,2,2,0,17,6,3
4,2,5,0,27,11,6
0,0,4,5,11,4,4
0,2,4,0,21,6,6
1,2,2,0,27,15,0
1,1,6,0,29,11,0
0,1,3,0,7,7,3
3,1,6,0,25,8,13
1,2,2,0,25,11,6
0,1,2,2,8,3,4
2,1,5,2,30,11,4
4,3,1,0,23,10,6
0,2,2,0,18,7,0
0,4,7,0,20,5,6
2,2,8,0,30,11,0
0,4,9,0,19,8,0
2,4,7,2,17,5,8
0,3,4,0,19,4,12
1,2,5,0,17,7,6
1,2,8,2,24,6,7
2,3,4,0,20,9,6
2,2,6,2,19,4,10
1,0,6,0,22,12,6
3,1,5,0,23,10,6
0,2,8,0,21,12,6
1,2,5,0,22,11,0
0,2,5,0,33,13,0
0,0,1,0,13,6,9
0,2,5,4,21,7,5
1,1,6,0,25,13,6
3,2,2,0,27,17,0
0,1,3,2,17,8,4
0,2,4,0,22,9,12
0,3,10,2,19,5,10
2,4,3,0,15,6,6
2,1,12,4,29,8,2
2,1,2,0,21,14,0
0,4,6,0,26,11,6
0,2,11,2,30,9,4
2,6,8,0,15,8,0
2,2,5,8,25,8,4
0,3,3,0,18,7,0
2,3,8,0,24,11,0
2,2,2,2,14,3,7
3,1,5,0,20,10,0
2,2,11,0,31,8,6
0,3,1,0,18,7,6
4,0,2,0,24,14,6
0,3,4,0,19,7,6
2,1,6,0,22,7,3
3,1,6,0,24,6,6
0,2,9,0,22,9,0
4,1,8,0,21,9,6
1,0,0,0,14,6,12
0,3,10,0,26,10,0
0,1,2,4,12,10,0
0,3,10,0,32,10,6
3,1,1,4,18,9,2
0,1,9,3,29,8,6
0,2,6,2,29,11,4
0,3,1,0,13,7,3
0,3,10,2,18,6,4
0,3,7,6,24,11,3
0,4,4,0,32,14,0
1,1,3,0,24,6,11
0,3,4,0,13,5,6
0,3,4,6,15,2,13
5,3,5,0,34,13,6
0,3,8,0,36,14,0
0,3,13,0,25,7,0
0,1,2,1,21,15,5
0,3,11,0,32,11,6
2,2,5,2,21,6,4
0,3,4,0,24,12,6
0,3,5,0,14,6,6
1,4,6,0,13,6,0
4,1,6,0,32,12,0
3,0,0,0,17,7,0
0,5,6,2,21,5,10
3,2,2,0,17,8,0
0,2,5,2,17,4,10
0,4,9,0,20,6,12
0,3,11,5,28,9,4
0,1,9,1,30,10,2
3,3,1,0,16,8,6
1,3,4,0,15,7,6
0,2,5,0,18,11,0
4,2,2,0,28,13,0
1,2,2,2,14,7,1
0,3,10,0,26,10,6
0,2,2,0,16,5,6
5,1,6,0,23,8,9
1,1,0,2,18,10,8
0,3,1,0,13,5,3
0,3,4,0,16,5,6
2,4,17,0,32,11,0
0,2,2,2,25,11,1
0,3,4,2,18,12,1
3,2,6,2,20,7,4
0,2,10,0,19,8,12
0,5,6,0,20,8,3
1,1,3,4,22,10,5
0,1,8,2,21,9,4
3,0,6,0,17,5,12
0,4,4,2,23,6,16
0,2,5,0,22,8,3
1,2,11,0,28,6,6
0,2,7,0,25,11,0
2,2,2,0,18,8,6
0,5,6,0,9,7,6
0,4,4,0,26,13,3
1,4,3,0,9,6,0
0,1,5,2,26,14,6
1,1,5,0,14,6,0
4,2,5,0,25,10,6
2,5,6,0,26,11,6
0,1,6,0,26,7,6
2,2,2,0,18,5,6
1,1,3,0,22,16,6
0,1,4,0,16,8,3
3,2,2,0,15,5,6
3,2,4,0,21,10,0
1,4,10,0,23,10,6
3,3,5,0,16,6,6
1,2,2,2,26,12,4
0,3,13,0,22,7,3
1,1,3,0,14,6,0
2,3,7,0,31,13,0
6,2,5,0,28,9,12
1,1,4,0,18,7,6
2,1,3,0,27,12,12
2,0,3,4,15,6,2
4,1,3,0,19,3,12
0,3,5,0,33,15,0
0,3,4,0,14,6,6
0,2,5,0,19,10,0
2,2,5,0,23,10,0
1,1,3,0,20,9,0
0,4,7,2,23,10,8
0,2,5,2,26,10,1
3,2,2,0,21,6,6
0,2,5,2,14,6,7
0,1,8,0,22,8,18
4,2,1,0,16,7,6
1,2,5,0,20,9,6
0,3,4,0,19,5,6
1,1,5,0,22,7,3
2,0,0,0,8,7,0
0,4,9,0,26,9,6
0,2,8,0,15,10,12
0,3,5,0,17,5,6
0,2,8,0,24,10,0
0,3,4,0,19,8,0
3,0,0,0,23,12,0
2,2,5,0,25,9,6
2,4,3,0,23,11,0
1,2,5,0,18,4,6
2,2,5,0,23,7,6
2,3,1,0,17,6,6
0,2,5,6,20,5,17
0,2,5,0,28,14,0
2,2,2,0,22,6,6
1,1,0,6,1,0,3
2,2,2,0,22,12,0
4,0,6,6,22,6,5
1,3,1,0,26,18,0
0,2,5,2,26,10,4
0,2,11,0,27,11,0
3,1,3,0,20,9,9
6,1,6,0,28,8,6
0,4,6,4,24,9,8
0,2,8,0,30,11,6
2,3,7,0,22,8,0
4,1,6,0,26,11,6
0,1,3,0,23,9,0
2,1,4,0,27,12,0
0,3,5,0,20,10,0
3,1,3,0,25,9,6
4,3,1,0,20,10,6
0,2,11,0,30,8,6
0,2,8,4,24,10,5
0,2,11,1,34,12,8
1,3,5,0,27,12,6
0,3,12,0,25,7,3
0,2,8,0,28,7,6
2,1,4,4,22,6,19
2,1,3,2,24,8,7
0,1,6,0,27,11,0
3,0,0,0,19,10,6
4,1,3,0,27,12,0
1,1,2,1,12,6,2
2,1,9,2,24,8,13
2,2,8,0,34,13,0
0,4,7,0,27,11,0
1,1,3,0,24,15,0
0,3,4,0,22,10,3
0,2,2,2,19,5,10
1,4,4,0,25,13,0
6,3,1,0,21,11,0
2,3,1,2,16,5,4
0,4,4,0,28,16,0
0,3,5,2,19,9,8
2,2,8,0,28,9,6
2,4,9,0,18,5,6
0,4,3,0,14,5,6
1,1,2,4,9,5,2
1,1,3,0,18,7,6
2,1,3,0,25,10,0
0,1,5,0,25,9,3
0,1,5,0,24,10,6
0,2,6,0,25,13,0
0,4,5,2,22,5,11
3,0,0,0,21,13,0
2,0,3,0,29,14,0
2,2,5,0,25,10,0
1,3,7,0,26,9,9
2,4,4,0,28,13,0
0,3,6,0,27,9,6
0,2,5,2,20,9,4
2,1,6,0,28,8,6
2,2,2,0,30,13,0
2,1,6,2,23,6,7
0,3,4,0,16,7,3
0,1,6,0,25,12,0
0,2,5,2,18,6,7
0,3,4,0,24,7,9
4,2,5,0,28,13,6
0,3,7,0,29,15,0
2,0,0,0,24,11,0
2,4,4,0,24,11,0
2,1,9,0,31,9,6
0,5,7,0,16,12,0
0,2,9,2,28,10,4
3,1,5,0,20,13,0
0,2,9,0,19,9,3
0,3,2,2,16,3,8
0,4,6,0,26,11,6
2,1,9,0,25,7,0
2,2,2,0,20,6,6
2,2,2,0,28,13,6
0,3,10,0,28,9,6
1,2,6,0,20,8,6
3,0,0,0,15,7,6
0,4,10,0,27,11,0
0,4,4,0,24,12,0
0,2,11,0,37,13,6
3,1,6,0,29,7,12
1,2,2,0,17,8,9
0,1,6,2,30,12,3
0,3,5,0,21,7,0
0,2,2,3,20,8,0
1,0,5,0,19,6,0
2,1,5,2,23,9,1
1,2,2,0,11,5,6
0,4,3,0,27,17,0
4,1,3,1,28,9,8
0,4,3,0,23,16,0
2,2,2,0,20,11,0
0,3,5,4,22,7,12
0,4,3,2,15,4,10
1,0,4,0,20,6,12
0,2,5,2,16,5,13
2,1,6,0,16,11,6
2,3,5,0,24,10,6
0,2,5,2,23,8,10
2,3,8,0,30,11,0
0,4,3,2,12,9,1
2,2,9,0,32,12,12
4,1,6,0,32,11,0
4,2,5,0,23,9,6
0,0,0,7,16,5,7
0,3,7,0,25,9,6
0,2,4,0,18,9,0
0,2,5,0,23,10,6
4,2,6,0,23,8,6
1,1,6,0,17,6,6
2,1,6,0,19,5,12
3,0,0,0,21,12,0
0,3,5,2,16,5,7
0,1,2,0,15,11,0
0,4,10,0,24,8,6
2,2,8,0,26,10,0
2,2,5,0,23,11,6
0,1,6,0,29,9,12
1,1,1,2,7,1,10
1,0,3,0,15,7,3
0,3,5,0,22,11,12
0,1,3,2,18,7,4
0,3,4,3,24,15,5
2,1,2,0,14,10,0
1,2,2,0,21,9,6
1,3,1,0,18,8,0
0,1,5,0,22,13,0
2,2,6,0,25,10,6
0,5,6,0,21,11,0
0,3,7,1,17,8,2
0,2,5,2,22,8,7
4,2,5,0,27,8,6
0,1,5,0,31,20,0
0,3,7,0,25,9,6
0,2,2,0,24,11,6
2,2,2,4,14,4,8
2,3,8,0,23,9,3
0,3,3,0,22,13,0
0,5,6,0,20,8,0
3,2,2,0,15,6,6
0,3,1,3,13,8,0
2,3,7,0,25,9,6
0,3,7,0,22,9,6
2,1,3,0,25,8,6
2,4,3,0,17,7,6
1,2,6,4,26,12,7
1,3,7,0,18,8,0
2,2,3,0,13,3,6
2,0,0,0,20,7,0
0,3,4,0,15,8,0
1,1,5,0,26,9,6
2,3,10,0,28,8,6
0,2,2,0,23,10,12
1,3,2,4,9,5,7
2,1,2,0,6,2,0
2,3,7,0,25,10,6
2,3,4,0,22,11,0
2,2,4,0,17,9,6
6,2,2,2,25,10,4
1,2,5,0,24,7,0
0,1,3,0,18,11,12
2,2,6,2,25,12,4
0,4,4,0,25,14,0
2,2,5,0,27,11,0
0,4,7,0,29,11,0
1,1,3,0,19,12,0
1,3,5,0,24,8,6
3,2,4,0,17,10,6
0,2,6,0,26,11,0
1,1,6,0,20,7,6
0,1,5,0,23,7,0
3,0,0,0,21,11,0
0,2,7,0,27,11,6
2,1,5,0,25,14,6
4,1,4,0,24,8,12
0,2,4,0,12,5,3
4,2,2,0,28,15,0
0,4,7,1,20,12,2
2,1,3,0,23,9,0
0,5,5,0,19,9,0
2,0,3,0,29,14,3
0,2,6,0,16,9,6
0,2,11,0,35,12,6
1,0,0,0,25,15,6
0,3,4,4,18,7,6
1,1,3,0,24,12,0
0,3,5,0,25,10,0
0,1,3,4,18,6,8
0,1,3,0,23,8,0
2,1,6,0,27,7,6
2,3,7,0,25,10,12
0,4,6,0,20,8,6
0,2,2,0,26,7,12
2,5,11,0,27,13,3
5,4,7,0,17,6,12
2,4,3,0,18,12,0
0,1,2,3,21,15,7
2,0,2,0,9,4,3
3,1,3,0,22,8,6
0,5,9,0,29,10,0
0,3,8,0,31,18,0
2,0,5,4,14,5,8
2,3,5,0,22,8,0
3,1,5,0,19,8,6
2,3,1,0,19,9,6
2,1,3,0,17,9,0
2,1,3,0,20,8,6
0,2,9,4,35,12,11
0,2,2,0,20,9,0
0,3,7,0,18,11,0
1,3,5,0,19,5,3
0,3,7,0,20,6,6
0,3,7,0,16,8,0
2,1,9,0,20,6,4
2,1,5,0,23,11,0
0,1,6,1,20,6,7
0,4,9,0,20,7,6
1,2,2,0,25,8,6
4,1,6,2,26,7,9
2,1,3,0,19,3,6
0,2,4,0,18,6,6
3,2,5,0,17,5,6
0,2,8,2,15,6,4
0,1,3,0,24,10,0
0,0,4,2,17,4,4
2,1,0,0,11,5,6
2,2,5,0,25,7,0
2,3,1,0,23,13,0
2,2,2,2,21,5,10
1,3,5,0,21,11,0
0,3,7,2,17,5,7
1,1,6,0,23,10,0
3,0,0,0,17,15,6
0,4,9,0,31,13,6
0,2,2,0,16,6,12
4,0,3,0,33,13,6
4,4,11,0,26,7,12
1,1,6,4,19,9,5
0,3,12,0,30,11,3
2,2,5,0,29,12,6
0,3,3,2,17,6,4
3,0,3,0,28,15,0
0,2,8,2,25,6,10
0,2,11,0,31,13,0
2,2,8,0,30,8,8
2,2,6,2,26,7,8
3,0,3,0,26,10,0
0,0,6,0,5,0,6
0,2,2,2,14,7,8
0,2,2,2,21,11,2
1,0,0,0,21,11,0
1,4,4,0,23,12,0
0,2,7,0,27,13,3
0,3,8,0,33,16,6
2,1,5,0,29,14,3
0,4,6,0,22,10,0
1,2,2,0,23,10,0
2,3,1,3,15,7,6
2,5,3,0,21,8,6
0,3,5,3,17,5,3
2,1,9,0,31,11,0
0,1,6,2,21,9,1
0,1,6,2,29,12,10
0,4,5,0,20,5,12
3,3,7,0,23,8,12
0,3,4,0,17,6,6
0,2,2,2,13,3,10
2,3,7,0,23,7,6
2,3,1,2,22,10,4
0,2,4,0,18,11,3
4,2,2,4,30,13,8
0,1,3,0,19,6,6
1,2,2,2,8,3,4
0,4,4,0,26,13,0
3,2,2,2,24,8,4
0,3,10,0,27,9,6
2,3,4,0,18,6,0
0,2,5,0,19,8,0
1,2,5,0,15,10,0
0,1,6,0,34,16,0
0,3,4,0,22,7,3
0,3,3,0,16,4,6
0,2,5,1,18,5,8
0,3,8,0,24,7,12
0,3,5,2,25,16,2
0,4,4,0,16,4,3
1,3,7,0,24,10,0
0,3,7,0,21,11,6
0,1,8,0,33,12,6
1,3,4,0,17,6,6
0,3,7,0,22,9,6
0,3,4,4,18,7,5
0,1,6,0,21,6,9
2,3,7,2,28,9,4
2,2,8,0,23,6,6
2,3,5,0,29,11,6
0,1,3,3,21,9,6
0,2,7,0,25,11,0
0,3,7,0,27,14,6
1,1,5,0,20,11,0
2,1,6,2,25,7,6
0,2,6,3,15,6,12
0,3,5,2,25,7,8
0,4,3,0,15,5,6
0,4,7,0,27,10,0
0,2,8,2,27,10,7
1,1,5,8,12,5,7
0,2,4,0,23,7,6
0,1,3,0,19,10,12
2,4,9,4,20,9,2
1,1,6,0,15,5,6
3,1,6,2,28,7,17
3,1,3,0,20,3,0
4,2,2,0,28,12,9
2,2,8,0,22,6,12
1,3,1,0,24,13,0
3,2,12,0,31,12,6
2,3,7,0,21,8,6
0,4,5,0,19,7,6
3,1,3,0,20,6,6
0,2,5,3,15,7,0
1,2,2,0,27,12,0
2,1,5,0,17,9,0
0,3,7,0,19,7,3
2,2,4,2,24,12,0
0,3,9,4,23,11,1
0,2,9,2,33,13,4
2,3,1,3,19,9,6
1,1,3,0,22,8,8
2,1,5,0,32,10,6
0,4,3,0,19,10,3
2,2,5,2,23,9,10
0,3,4,2,13,5,4
0,1,3,4,23,9,5
1,4,7,0,19,11,0
0,2,5,2,19,4,7
4,1,3,2,24,12,1
2,2,5,2,21,13,8
2,2,2,2,26,13,8
2,1,6,2,18,7,16
4,1,2,0,25,13,0
0,2,10,0,22,9,6
0,2,7,0,26,15,0
4,3,7,0,35,16,0
1,1,2,0,13,7,8
2,1,3,2,18,8,4
2,3,1,0,12,6,6
3,1,6,0,23,7,6
1,0,3,0,14,6,6
5,0,0,0,22,11,6
0,1,7,0,31,13,6
0,4,10,1,25,12,2
2,2,2,0,22,10,0
2,0,3,1,12,5,2
4,2,9,0,27,8,12
1,4,4,0,31,16,0
0,1,6,2,21,5,4
0,5,9,0,18,5,6
0,4,6,2,18,7,10
1,1,6,2,22,6,10
2,1,4,0,21,15,3
0,3,1,0,19,9,6
0,3,7,0,25,7,9
0,2,11,0,29,11,0
0,4,9,0,27,7,12
2,1,6,0,28,9,6
2,2,5,0,19,9,0
0,1,9,0,32,11,0
0,3,5,0,21,7,6
1,3,3,8,16,9,2
0,1,5,0,31,15,0
4,2,5,0,27,7,6
2,3,5,0,29,10,0
0,3,4,0,24,9,6
3,2,4,4,19,9,8
3,2,5,0,26,10,0
2,1,4,0,23,9,12
0,1,6,2,23,9,6
0,3,1,0,18,8,6
2,0,0,0,19,8,6
0,3,8,0,21,6,12
0,2,5,4,21,10,8
0,3,8,0,28,8,6
2,3,4,0,23,8,12
0,4,10,0,24,11,0
0,2,2,0,22,13,0
0,2,5,0,18,6,3
0,1,6,0,26,10,0
1,2,5,0,24,10,0
4,2,5,0,23,9,6
2,3,7,0,27,9,6
0,4,6,2,12,5,4
2,1,5,0,13,10,6
1,0,0,0,19,10,12
0,3,7,2,23,12,14
4,2,6,0,20,5,6
1,4,10,0,16,5,6
0,4,4,4,18,6,7
2,3,5,2,22,6,14
2,1,9,2,32,12,4
0,4,3,0,25,10,6
0,0,5,0,15,9,18
2,2,6,2,25,7,10
0,1,3,0,20,8,0
0,2,3,0,18,4,9
1,1,6,2,18,6,4
1,2,2,0,25,11,6
0,2,6,2,23,12,12
0,2,5,0,27,10,6
0,2,2,0,20,7,6
0,3,13,0,29,8,6
0,3,4,2,19,5,4
1,0,3,0,21,13,9
0,1,6,0,24,8,0
2,2,2,0,22,6,6
2,2,5,0,27,9,6
0,2,2,0,20,7,0
2,3,1,0,12,4,6
2,1,6,3,24,12,0
1,2,5,0,25,11,6
0,4,10,2,19,7,3
0,6,8,0,19,9,0
0,3,7,0,23,10,0
0,0,3,0,31,15,0
0,3,11,0,29,12,6
0,2,2,0,14,4,9
2,2,8,2,19,7,4
0,3,7,0,25,9,6
2,2,7,0,29,12,12
0,3,10,0,28,7,11
0,2,5,0,24,9,6
2,1,2,0,21,12,0
4,1,5,0,31,12,12
4,1,3,2,28,10,12
0,1,6,4,22,6,7
0,0,0,0,23,16,0
1,0,0,0,14,9,0
3,4,3,0,12,5,0
0,1,3,2,20,9,4
2,2,2,2,25,12,2
0,3,5,0,20,9,6
1,3,5,0,32,15,0
2,3,6,2,22,8,8
2,2,5,0,25,10,0
6,4,10,4,26,4,14
2,2,5,2,26,7,10
1,1,6,0,21,10,6
1,2,2,0,15,5,3
0,3,5,0,22,11,0
2,2,5,0,26,11,6
0,3,5,0,24,10,6
4,2,10,0,30,10,12
4,2,4,2,20,9,13
0,3,4,0,22,8,3
0,3,4,2,17,4,4
0,2,4,0,25,7,12
2,1,9,0,37,14,0
0,3,3,0,17,13,0
0,3,7,0,29,12,6
6,0,3,0,29,11,0
1,2,10,0,26,13,6
1,2,2,2,20,7,6
0,3,4,0,28,13,0
2,3,5,0,21,11,0
4,1,9,0,33,11,6
0,2,5,0,21,6,0
3,1,3,0,25,7,6
1,0,9,0,22,9,0
0,2,7,0,29,12,6
0,2,5,0,17,5,6
0,2,2,2,23,14,1
0,3,7,0,21,5,6
0,4,7,0,27,10,6
4,1,6,0,19,5,6
0,3,10,0,29,10,12
0,1,6,0,27,11,0
0,3,1,0,15,8,3
3,2,5,0,26,10,3
0,2,2,0,26,13,6
1,3,1,0,24,13,0
3,0,0,0,23,13,0
0,3,7,0,27,9,6
0,1,3,0,17,8,0
2,2,8,0,24,8,0
1,1,3,1,16,7,5
0,4,7,4,18,8,2
2,2,2,2,24,12,4
1,2,9,0,23,7,6
2,2,5,0,23,19,6
1,1,3,2,13,5,4
0,3,8,0,27,11,6
0,3,7,0,23,9,9
0,1,6,3,28,14,5
2,1,5,0,17,15,3
4,2,2,0,28,10,6
1,0,0,4,15,10,7
0,2,7,0,26,11,6
2,4,9,0,30,11,6
3,3,4,0,17,7,0
1,1,3,0,19,8,6
4,3,8,0,26,12,12
0,2,8,0,22,7,3
2,4,8,4,22,11,1
0,2,8,2,29,12,4
1,1,1,4,14,6,6
4,0,0,0,14,13,0
0,4,9,0,21,9,0
0,4,8,4,23,8,1
1,4,8,4,23,8,2
0,2,8,1,19,5,2
0,0,0,0,15,6,0
4,1,4,0,20,7,6
0,2,2,0,20,6,6
1,2,4,2,30,14,16
8,1,6,0,28,10,12
0,1,4,0,26,10,6
0,3,7,0,23,10,0
1,1,3,0,17,7,6
4,1,3,0,26,11,12
1,0,6,1,14,6,2
3,2,2,0,11,2,6
4,3,4,0,24,7,6
0,1,5,0,35,18,6
0,1,6,2,17,7,3
0,3,7,0,23,8,9
2,3,8,0,29,10,12
0,0,2,0,17,10,18
1,2,5,0,30,12,6
1,1,3,0,18,10,0
0,2,6,6,26,10,10
1,4,6,0,21,12,0
0,3,5,0,20,10,0
0,2,5,1,28,12,2
0,3,4,6,9,0,8
0,4,4,4,17,8,6
2,3,4,0,20,8,0
0,3,5,0,19,8,6
0,2,2,0,14,6,9
0,2,5,0,23,8,0
1,2,5,0,24,9,6
0,1,2,4,21,12,2
1,1,5,0,18,9,3
0,3,5,0,22,9,3
6,3,1,0,19,8,6
0,2,5,0,17,7,6
1,2,8,0,27,8,6
5,2,2,0,25,8,12
4,1,2,0,17,7,0
2,0,0,0,24,14,0
3,0,0,2,15,5,0
0,2,2,0,14,6,6
0,2,8,2,25,9,1
2,3,7,0,33,16,6
0,2,2,0,18,8,3
6,0,3,0,23,11,0
2,2,2,0,20,11,0
3,1,3,0,20,10,0
2,3,7,0,21,7,6
1,3,5,0,25,15,0
5,2,2,0,20,6,12
3,3,5,0,24,11,6
2,3,1,0,23,13,0
0,2,5,0,27,9,6
0,1,3,0,19,7,6
0,4,6,0,16,7,0
0,1,3,0,25,10,6
1,0,0,0,19,11,6
3,2,2,0,21,8,6
0,2,9,0,41,20,0
0,2,11,0,29,9,6
0,2,9,0,32,15,0
6,2,2,0,24,7,6
0,3,6,0,27,9,6
0,1,5,0,23,10,0
4,2,2,2,27,9,10
1,5,8,0,23,13,6
0,2,1,2,16,10,8
3,1,3,0,19,7,6
2,2,5,0,27,11,0
0,2,5,0,19,7,0
1,1,6,0,22,7,6
1,0,0,0,21,12,0
0,3,8,0,22,9,6
0,1,6,2,23,8,4
2,1,3,2,25,10,4
1,3,5,0,21,12,0
1,2,8,0,29,12,6
0,1,3,4,25,8,13
1,0,7,0,11,7,0
0,5,9,0,19,10,0
1,0,9,4,15,7,2
3,2,6,0,23,8,6
0,3,1,0,21,11,6
0,2,8,0,21,7,6
5,3,1,0,20,7,6
0,3,8,0,27,13,6
2,1,5,0,27,10,3
1,3,7,0,17,7,0
0,3,8,0,30,8,6
2,0,0,0,12,6,0
2,2,5,0,24,10,6
2,2,11,0,28,11,6
0,0,8,0,28,12,6
2,2,2,0,21,10,6
0,0,3,2,20,7,1
0,2,8,0,34,12,0
2,2,8,0,26,8,6
1,1,8,0,19,11,0
0,3,4,0,24,17,0
4,0,3,0,23,11,6
0,5,2,0,15,8,6
0,2,9,0,28,11,6
0,3,7,0,27,12,3
0,1,6,2,30,12,3
0,3,10,0,28,9,6
0,2,5,2,28,10,7
0,2,8,0,34,13,0
0,1,5,0,25,11,0
1,2,5,0,20,6,6
2,1,6,0,23,12,0
0,2,2,4,16,5,2
0,4,3,0,17,7,3
0,3,5,0,14,4,6
2,2,2,0,20,10,0
0,3,4,0,20,11,3
0,4,3,0,12,5,6
0,1,6,0,24,11,6
0,2,5,4,31,14,2
0,2,9,0,28,12,6
4,1,6,0,14,5,6
0,5,6,0,23,12,0
4,2,2,0,20,9,6
0,3,6,0,24,8,0
0,2,5,0,23,11,0
1,2,4,0,20,11,6
1,1,3,0,22,9,3
2,4,4,0,24,12,0
0,2,11,0,27,8,6
0,3,7,3,27,13,0
1,3,5,2,16,7,3
2,3,7,0,24,7,6
0,1,3,3,19,8,3
0,1,4,3,18,7,9
2,3,5,0,23,7,3
5,1,3,0,20,6,12
0,2,9,0,29,10,6
0,2,8,0,32,14,0
2,3,1,0,11,6,6
2,2,6,0,25,11,0
0,2,7,0,24,14,6
2,2,5,4,13,5,8
0,2,8,0,18,6,3
2,3,8,0,27,9,12
2,1,6,2,25,11,4
0,2,11,0,29,18,0
2,3,2,0,16,7,6
0,3,5,0,23,8,6
0,2,12,0,17,3,6
