"('O', 'C', 1)","('N', 'H', 1)","('N', 'C', 1)","('N', 'C', 1.5)","('C', 'H', 1)","('C', 'C', 1)","('C', 'C', 1.5)"
1,0,2,0,14,10,3
1,0,3,0,22,12,0
0,2,5,0,17,7,6
0,3,11,0,24,11,6
2,1,9,0,27,9,6
2,2,2,0,22,9,12
4,2,5,0,25,7,9
5,2,2,0,20,6,12
0,3,3,0,20,4,6
7,2,2,0,19,4,12
0,3,11,0,30,12,0
0,1,4,0,16,4,12
0,1,5,2,22,10,1
0,3,5,0,16,8,0
0,3,7,0,22,9,6
0,0,0,0,17,7,6
6,0,0,0,22,10,6
5,1,2,0,13,4,12
0,4,11,0,28,12,0
1,5,5,0,12,6,6
0,2,5,2,24,10,1
3,2,2,0,17,8,6
0,2,3,0,17,6,6
4,1,6,0,23,7,6
0,2,6,0,17,7,6
0,1,6,0,26,11,3
0,2,2,0,22,10,12
1,3,1,0,15,7,6
0,1,2,0,19,9,12
0,2,8,0,21,11,0
0,2,8,2,25,8,1
5,1,3,3,20,7,6
2,4,6,0,17,6,6
0,2,2,4,20,7,5
0,2,8,0,28,10,3
2,1,6,0,20,9,3
0,1,9,0,31,11,0
0,1,6,2,23,9,1
3,2,5,0,28,14,0
4,0,3,0,19,9,6
4,2,5,0,27,11,0
0,1,7,0,29,11,12
0,2,12,0,26,8,12
0,3,8,0,16,5,6
3,0,0,0,20,13,0
1,0,2,0,13,11,6
2,2,2,0,20,8,6
5,1,4,4,20,6,14
0,1,3,0,14,6,6
2,2,6,0,24,7,11
0,5,6,0,17,10,0
5,0,0,0,27,16,0
0,2,8,0,18,11,12
2,3,10,0,24,7,0
0,3,7,0,26,12,0
1,0,0,0,18,11,0
0,2,11,0,35,11,0
2,1,5,2,22,12,1
2,2,2,0,28,14,0
2,4,2,4,25,12,1
1,0,5,0,20,8,6
2,4,7,0,18,9,0
8,3,2,0,15,4,6
0,4,8,2,24,11,2
0,2,2,0,24,11,0
2,0,0,0,16,10,0
4,2,5,0,29,14,6
0,3,8,0,25,12,0
0,0,6,0,21,7,6
0,3,4,0,26,12,0
2,4,4,0,24,11,0
3,3,1,0,7,2,6
0,1,2,2,24,15,6
0,2,2,0,24,9,6
